arch,vehicle,run_dir,checkpoint_epoch,file,sample_index,sample_info,age_group,age_label,hic_true,hic_pred,signed_error,abs_error,squared_error,accuracy,hic_bucket
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_0.feather,19,C_4_3,0,Child,910.219970703125,544.5799560546875,-365.6400146484375,365.6400146484375,133692.6203121096,0.5982948886893916,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_0.feather,20,C_4_4,0,Child,1085.18994140625,652.4354248046875,-432.7545166015625,432.7545166015625,187276.47163905203,0.6012177222719417,1k-1.5k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_0.feather,21,A_10_0,1,Adult,934.260009765625,798.6502685546875,-135.6097412109375,135.6097412109375,18390.00191129744,0.8548479654556149,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_0.feather,22,C_4_5,0,Child,1160.1500244140625,711.9756469726562,-448.17437744140625,448.17437744140625,200860.27259499207,0.6136927397232456,1k-1.5k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_0.feather,23,C_4_6,0,Child,1103.9100341796875,801.08447265625,-302.8255615234375,302.8255615234375,91703.32071198523,0.7256791295058149,1k-1.5k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_0.feather,24,C_5_1,0,Child,629.3900146484375,961.736083984375,332.3460693359375,332.3460693359375,110453.90980304778,0.6544311117463104,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_0.feather,25,C_5_2,0,Child,729.5900268554688,838.8997802734375,109.30975341796875,109.30975341796875,11948.62219229713,0.8696986743966729,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_0.feather,26,C_5_3,0,Child,815.989990234375,626.4398803710938,-189.55010986328125,189.55010986328125,35929.24414918199,0.7677053491687598,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_0.feather,27,C_5_4,0,Child,893.760009765625,663.3948974609375,-230.3651123046875,230.3651123046875,53068.084967151284,0.7422517121065897,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_0.feather,28,C_5_5,0,Child,985.760009765625,567.0672607421875,-418.6927490234375,418.6927490234375,175303.61808480322,0.5752589424651278,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_0.feather,29,C_5_6,0,Child,1057.6199951171875,672.5001220703125,-385.119873046875,385.119873046875,148317.31661564112,0.6358617699883761,1k-1.5k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_0.feather,30,C_6_1,0,Child,568.489990234375,815.2833251953125,246.7933349609375,246.7933349609375,60906.950181141496,0.6972913251944474,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_0.feather,31,C_6_2,0,Child,630.1199951171875,842.2703857421875,212.150390625,212.150390625,45007.78824234009,0.748120800379253,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_0.feather,32,A_11_0,1,Adult,2463.449951171875,828.9495849609375,-1634.5003662109375,1634.5003662109375,2671591.447143689,0.33649946270132347,>2k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_0.feather,33,C_6_3,0,Child,692.1900024414062,737.866943359375,45.67694091796875,45.67694091796875,2086.382931623608,0.9380959652291646,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_0.feather,34,C_6_4,0,Child,836.1400146484375,551.3987426757812,-284.74127197265625,284.74127197265625,81077.5919646062,0.6594574270047604,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_0.feather,35,C_6_5,0,Child,937.4099731445312,612.0579833984375,-325.35198974609375,325.35198974609375,105853.91723174229,0.6529245484185493,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_0.feather,36,C_6_6,0,Child,746.4099731445312,683.2203369140625,-63.18963623046875,63.18963623046875,3992.930126938969,0.9153419186452469,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_0.feather,37,C_6_7,0,Child,1452.8900146484375,877.3795166015625,-575.510498046875,575.510498046875,331212.3333621621,0.6038857090045223,1k-1.5k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,0,C_7_1,0,Child,608.7899780273438,644.94873046875,36.15875244140625,36.15875244140625,1307.4553781189024,0.9439354622574014,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,1,C_7_2,0,Child,642.239990234375,578.37353515625,-63.866455078125,63.866455078125,4078.9240842461586,0.9005567139243105,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,2,C_7_3,0,Child,750.5700073242188,533.5750732421875,-216.99493408203125,216.99493408203125,47086.80141726509,0.7108931452568722,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,3,C_7_4,0,Child,799.8099975585938,630.6505126953125,-169.15948486328125,169.15948486328125,28614.93131921068,0.7885004121233322,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,4,C_7_5,0,Child,884.5599975585938,709.09619140625,-175.46380615234375,175.46380615234375,30787.547269467264,0.8016371906522701,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,5,A_12_0,1,Adult,1345.6800537109375,371.1903381347656,-974.48974609375,974.48974609375,949630.2652418613,0.27583847818145646,1k-1.5k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,6,C_7_6,0,Child,648.0700073242188,721.7693481445312,73.6993408203125,73.6993408203125,5431.59283734858,0.8978907305917423,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,7,C_7_7,0,Child,1109.4000244140625,869.18408203125,-240.2159423828125,240.2159423828125,57703.698974862695,0.7834722038070224,1k-1.5k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,8,A_8_1,1,Adult,750.8800048828125,534.435302734375,-216.4447021484375,216.4447021484375,46848.309088125825,0.7117452845448756,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,9,A_8_2,1,Adult,781.8400268554688,512.5399169921875,-269.30010986328125,269.30010986328125,72522.54917237535,0.6555559953275912,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,10,A_8_3,1,Adult,878.27001953125,519.0621337890625,-359.2078857421875,359.2078857421875,129030.30517937243,0.5910051831965027,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,11,A_8_4,1,Adult,983.52001953125,690.5416259765625,-292.9783935546875,292.9783935546875,85836.33908988535,0.7021124250278888,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,12,C_8_5,0,Child,882.1500244140625,789.9921875,-92.1578369140625,92.1578369140625,8493.06690467894,0.8955304263860615,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,13,C_8_6,0,Child,780.469970703125,853.10302734375,72.633056640625,72.633056640625,5275.560916960239,0.9148601583717529,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,14,C_8_7,0,Child,792.969970703125,859.1737060546875,66.2037353515625,66.2037353515625,4382.934574499726,0.9229448772873078,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,15,A_9_1,1,Adult,978.77001953125,571.4486694335938,-407.32135009765625,407.32135009765625,165910.68224537745,0.5838436589090361,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,16,A_13_0,1,Adult,399.3299865722656,330.5257568359375,-68.80422973632812,68.80422973632812,4734.022029609419,0.8277008187466112,<500
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,17,A_9_2,1,Adult,954.9199829101562,579.427001953125,-375.49298095703125,375.49298095703125,140994.97874799743,0.606780685631165,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,18,A_9_3,1,Adult,955.47998046875,703.1972045898438,-252.28277587890625,252.28277587890625,63646.59900516644,0.7359622587224292,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,19,A_9_4,1,Adult,1018.8099975585938,847.13818359375,-171.67181396484375,171.67181396484375,29471.21170997992,0.8314977136303862,1k-1.5k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,20,A_9_5,1,Adult,1191.3800048828125,904.19287109375,-287.1871337890625,287.1871337890625,82476.44981397688,0.7589458169416642,1k-1.5k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,21,A_9_6,1,Adult,952.7100219726562,956.0045166015625,3.29449462890625,3.29449462890625,10.85369485989213,0.9965538921922485,500-1k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,22,A_10_1,1,Adult,1074.72998046875,796.4451904296875,-278.2847900390625,278.2847900390625,77442.4243670851,0.7410653884265079,1k-1.5k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,23,A_10_2,1,Adult,1204.760009765625,878.1051025390625,-326.6549072265625,326.6549072265625,106703.42841519415,0.7288630892636366,1k-1.5k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,24,A_10_3,1,Adult,1428.219970703125,934.7338256835938,-493.48614501953125,493.48614501953125,243528.57532623783,0.6544746921746348,1k-1.5k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,25,A_10_4,1,Adult,1442.010009765625,1047.4117431640625,-394.5982666015625,394.5982666015625,155707.7920049578,0.726355390094901,1k-1.5k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,26,A_10_5,1,Adult,1490.5400390625,1144.832763671875,-345.707275390625,345.707275390625,119513.52025800943,0.7680657571546596,1k-1.5k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,27,C_1__1,0,Child,2021.56005859375,1008.9337158203125,-1012.6263427734375,1012.6263427734375,1025412.1100787073,0.49908668878339096,>2k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,28,A_10_6,1,Adult,1258.3199462890625,1304.405517578125,46.0855712890625,46.0855712890625,2123.879881039262,0.9646692913606889,1k-1.5k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,29,A_11_1,1,Adult,2350.300048828125,818.9920043945312,-1531.30810546875,1531.30810546875,2344904.5138742924,0.34846274406660804,>2k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,30,A_11_2,1,Adult,2225.52001953125,844.2304077148438,-1381.28955078125,1381.28955078125,1907960.8230974674,0.37934073848172334,>2k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,31,A_11_3,1,Adult,2250.860107421875,826.9924926757812,-1423.86767578125,1423.86767578125,2027399.1581346989,0.36741176848303325,>2k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,32,A_11_4,1,Adult,2248.820068359375,759.7918701171875,-1489.0281982421875,1489.0281982421875,2217204.9751603752,0.3378624554304574,>2k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,33,A_11_5,1,Adult,1310.5699462890625,856.6784057617188,-453.89154052734375,453.89154052734375,206017.53056228533,0.6536685876152143,1k-1.5k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,34,A_11_6,1,Adult,1538.4200439453125,1507.3197021484375,-31.100341796875,31.100341796875,967.2312598824501,0.9797842325837633,1.5k-2k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,35,A_12_1,1,Adult,1388.8299560546875,380.844970703125,-1007.9849853515625,1007.9849853515625,1016033.7306941897,0.2742200145113579,1k-1.5k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,36,A_12_2,1,Adult,1461.010009765625,370.345458984375,-1090.66455078125,1090.66455078125,1189549.1623308659,0.2534859148869115,1k-1.5k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_1.feather,37,A_12_3,1,Adult,2095.52001953125,367.209716796875,-1728.310302734375,1728.310302734375,2987056.502537787,0.17523560422916729,>2k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_2.feather,0,C_1__2,0,Child,1744.68994140625,1008.7670288085938,-735.9229125976562,735.9229125976562,541582.5332862176,0.5781927234563582,1.5k-2k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_2.feather,1,A_12_4,1,Adult,3195.7900390625,426.3511962890625,-2769.43896484375,2769.43896484375,7669792.179994822,0.13341026509180015,>2k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_2.feather,2,A_12_5,1,Adult,2989.659912109375,438.0786437988281,-2551.581298828125,2551.581298828125,6510567.124529421,0.14653126331340435,>2k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_2.feather,3,A_12_6,1,Adult,2711.06005859375,1852.5792236328125,-858.4808349609375,858.4808349609375,736989.3439952284,0.6833412700542537,>2k
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_2.feather,4,A_13_1,1,Adult,438.1099853515625,333.2574462890625,-104.8525390625,104.8525390625,10994.054947853088,0.7606707389278955,<500
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_2.feather,5,A_13_2,1,Adult,434.32000732421875,318.0130615234375,-116.30694580078125,116.30694580078125,13527.305641505867,0.7322090996513582,<500
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_2.feather,6,A_13_3,1,Adult,473.3500061035156,310.54632568359375,-162.80368041992188,162.80368041992188,26505.038358272053,0.6560606774676606,<500
E0,CY02C,/data1/user/yikun/project/PT-HICNET/experiments/pt_hicnet_loco_e0_fold3_CY02C_seed42,182,batch_2.feather,7,A_13_4,1,Adult,533.2000122070312,288.81646728515625,-244.383544921875,244.383544921875,59723.317028582096,0.5416662803319937,500-1k
