vehicle,count,exposed_count,exposed_frac,mean_delta_pp,mean_delta_exposed_pp,mean_delta_unexposed_pp,median_delta_exposed_pp,median_delta_unexposed_pp,pearson_frac_vs_delta,pearson_top32_vs_delta,pearson_min_dist_vs_delta,mean_hard_only_frac,mean_hard_only_top32_frac
CY02C,223,143,0.6412556053811659,-5.712083058335335,-5.824586681821158,-5.510982831354426,-1.3794579512548033,-6.78191112770267,-0.3135140384116657,-0.24494856805700882,0.14825033623676578,0.07919040263383588,0.1530269058295964
M6,242,0,0.0,-1.3480706083111325,nan,-1.3480706083111325,nan,1.0263059042507487,nan,nan,nan,0.0,0.0
