vehicle,group,file,sample_index,sample_info,thickness_mean,thickness_std,thickness_min,thickness_max,mat_00_mean,mat_00_std,mat_01_mean,mat_01_std,mat_02_mean,mat_02_std,mat_03_mean,mat_03_std,mat_04_mean,mat_04_std,mat_05_mean,mat_05_std,mat_06_mean,mat_06_std,mat_07_mean,mat_07_std,mat_08_mean,mat_08_std,mat_09_mean,mat_09_std,mat_10_mean,mat_10_std,mat_11_mean,mat_11_std,mat_12_mean,mat_12_std,mat_13_mean,mat_13_std,mat_14_mean,mat_14_std
C201,normal,batch_0.feather,0,C_5_8,1.6290126055027276,0.8851038774804554,0.0,7.085306167602539,0.09951500782491711,0.8746638267694069,0.14560412951763416,0.8919291573001475,0.2947836709488618,0.4098883613417429,-0.01943850776970998,0.5681655458556557,-0.024646020543380907,0.5688492131097983,-0.021035789612979826,0.5820380013984537,-0.018970482100993634,0.5898734395137362,-0.018749178193564524,0.5919050793395121,0.004977003153225411,0.5893674060865893,-0.1351571152880611,0.08341141270833562,-0.1379840119659084,0.08515601523985426,0.025826403878355626,0.6090544778065482,-0.13793657400574663,0.08512673918385541,-0.13778910194851945,0.08503572767768605,-0.13737912401802221,0.08478271222760277
C201,normal,batch_0.feather,1,C_6_1,1.6181491570761686,0.9265917208192084,0.0,4.958911418914795,0.025395653171615764,0.833569327686625,0.06487745701772765,0.8494739379922288,0.26530578543113875,0.40827384985003345,0.07453503721363339,0.6447694485232962,0.013748281135706378,0.6088361825694695,-0.005421166288710537,0.6053437929588856,-0.016578550519209492,0.6012657006598034,-0.02314506400983176,0.5986726941564008,-0.05830507152791953,0.5523491632008413,-0.12240978228375651,0.08866605530721454,-0.1249700604173675,0.09052056201701929,0.129603385555851,0.7328895542497706,-0.12492709656479481,0.09048944166657126,-0.12479353332338022,0.09039269673717361,-0.12442222243008134,0.09012374215209398
C201,normal,batch_0.feather,2,C_6_2,1.6429353676593155,0.9320917541281726,0.0,6.773947238922119,0.03024223207246419,0.8350561360145956,0.07014051083913266,0.8512455786767177,0.266261780072759,0.4085730200510594,0.08015194727289215,0.6479014278160738,0.023332329152335907,0.618221769644398,0.0059009360978823835,0.6175107589452337,-0.004036149546583217,0.6155594086965513,-0.01057814879232822,0.6130828408068776,-0.04782987020499567,0.5632382733528938,-0.12286034905689794,0.08851694673720852,-0.12543005107996844,0.09036833474686946,0.12738289608102682,0.7267026555208139,-0.12538692908575008,0.0903372667310332,-0.12525287422383286,0.09024068449637197,-0.12488019660683017,0.0899721822087518
C201,normal,batch_0.feather,3,C_6_3,1.6381030807725232,0.9370043289893831,0.0,8.109889030456543,0.08334170843717956,0.8562997273821049,0.12660944249490944,0.8739968930378036,0.26978082826636884,0.40739504407598426,0.12354291984024977,0.666825415413308,0.06652516468541714,0.6428483899211868,0.05049133896965703,0.6448434691807152,0.04167053839805735,0.644983056961134,0.03491561359501664,0.6424360704090127,-0.009528069845427397,0.5865594002384124,-0.12959680943854118,0.08597577907325255,-0.13230740879752131,0.08777401695153014,0.1656273014125588,0.7376930652167801,-0.13226192241472795,0.08774384084445153,-0.1321205172947885,0.08765003131775286,-0.13172740568080193,0.0873892372641131
C201,normal,batch_0.feather,4,C_6_4,1.6343685033167237,0.9499703764830354,0.0,8.109889030456543,0.1341506054437486,0.887289715754597,0.18235292399443345,0.905491876566029,0.2940675916978953,0.41569408841950634,0.1587669007255467,0.6868467301009084,0.09796285807515896,0.6686918537727242,0.08282826486713622,0.6725981396280811,0.07496054502585944,0.6741163745039526,0.0683394360558683,0.6717296437851074,0.017348117355944107,0.6113107880451714,-0.14017022678188545,0.08070213150023729,-0.14310197586204515,0.08239006769909975,0.19633470741165474,0.7538730040326754,-0.14305277838087835,0.08236174255701605,-0.1428998364387433,0.08227368719021745,-0.14247465202006965,0.08202888992010149
C201,normal,batch_0.feather,5,C_6_5,1.6406895737790381,0.9480771515570395,0.0,8.109889030456543,0.1538600728254925,0.909605524772331,0.20554380861725555,0.9273525772573428,0.32654214488859046,0.42762261155214765,0.1511491480656734,0.6936148875924978,0.09450123219766539,0.6828183658392338,0.08269340937811283,0.6889378485122409,0.07699794412484576,0.6919734717979784,0.07140619005232546,0.6900399654901648,0.02642299661075125,0.6322340244319754,-0.14759831969483184,0.07590518447336651,-0.1506854320433892,0.0774927894866882,0.18392189883324347,0.7552374046427446,-0.15063362742182188,0.07746614799534467,-0.1504725805705164,0.0773833266530859,-0.150024864195952,0.07715308017010046
C201,normal,batch_0.feather,6,C_6_6,1.6320441595737036,0.9263787166899641,0.0,8.109889030456543,0.17349174725603786,0.8960710296990301,0.2250036761624054,0.9133674901904207,0.3266110311656209,0.42713289895448775,0.13380132137151748,0.6715062198261974,0.08842001175024473,0.6669527693914238,0.08162399043128322,0.6748090639842815,0.07878412537626815,0.6790532378747066,0.07481898993220674,0.6775999339322777,0.043369021288324545,0.6273985587134088,-0.1438367342665162,0.07845900358790277,-0.14684517067316635,0.08010002334571546,0.16328163452694353,0.7265618897839857,-0.14679468630720907,0.0800724855051755,-0.14663774378100974,0.07998687765061384,-0.14620143758641257,0.0797488845575317
C201,normal,batch_0.feather,7,C_6_7,1.5571967134560536,0.8801004301936284,0.0,5.4237284660339355,0.21628721191924286,0.8629912459866144,0.26593607705484573,0.881030319288558,0.2976497864833163,0.4156038616903372,0.11646150283434631,0.625811078060779,0.08643582150727903,0.6239766006876275,0.08559926449227616,0.6328550026480381,0.08595158373383824,0.6379223884626494,0.08426980170855192,0.637272359747907,0.07281647262029455,0.601338900355782,-0.13596395568557035,0.08300178412145517,-0.13880772794140264,0.08473781901160299,0.14934751832251872,0.6743647647872995,-0.1387600067933188,0.08470868672859518,-0.1386116543798261,0.08461812217465572,-0.13819922902541257,0.08436634926867505
C201,normal,batch_0.feather,8,C_6_8,1.5528179629083094,0.8696141275416504,0.0,6.211141109466553,0.201085159635758,0.8565683707611013,0.24976330443964526,0.8739505135900411,0.2895944057265811,0.41055842589548835,0.05041488501180526,0.5815951916847552,0.039428474348244605,0.5864504205999466,0.04456707170394444,0.5985799442551122,0.04794831299186494,0.6056549753403621,0.0484969843100623,0.6066752871896427,0.06492314330153792,0.5924852904889829,-0.13301500765180294,0.08445192277751004,-0.13579710079157808,0.0862182882361999,0.0890574582788309,0.623005225379196,-0.13575041467653,0.08618864697798688,-0.13560527990668314,0.08609650015493403,-0.13520179972403842,0.08584032848056296
C201,normal,batch_0.feather,9,C_7_1,1.6171970931224902,0.9042641144790785,0.0,8.705236434936523,-0.0136501401147871,0.8408278072151115,0.027079994271273885,0.8544215746592857,0.3204060507407737,0.4347858866757968,0.03567183459236623,0.6438834706540654,-0.02691884818186418,0.6163220268077916,-0.04484431684736413,0.6138646808690673,-0.05489068001607933,0.6103346913264532,-0.06058062176959343,0.608124938430684,-0.0915775519205658,0.5611733666211731,-0.1240965089145942,0.08809472817597559,-0.12669206600410024,0.08993728521699251,0.08065916140780843,0.7314798412773674,-0.12664851013777714,0.08990636539311077,-0.12651310648236955,0.08981024384763732,-0.12613667916814122,0.08954302229388407
C201,normal,batch_0.feather,10,C_1__2,1.7659006333169347,1.4002343511598374,0.0,8.389244079589844,-0.10472735859514913,0.8809941416907112,-0.06093491660859523,0.8948875467293864,0.25577126593707844,0.3725455159862818,-0.034953243922449015,0.6655659360308411,-0.07655578696556538,0.6602593207243148,-0.09414849301199323,0.6657371311733531,-0.10426298372199905,0.6671413632912739,-0.10986780141265969,0.6690640018632906,-0.14462192968248952,0.6244256240874848,-0.1410163563941388,0.08020492669660759,-0.14396580281109655,0.08188246354201537,0.008475487608425647,0.7349617441638687,-0.14391630835212912,0.08185431291072837,-0.14376244318464754,0.08176680005197146,-0.14333469216438116,0.081523510974764
C201,normal,batch_0.feather,11,C_7_2,1.6144889476599344,0.9267834796745147,0.0,8.109889030456543,0.01409990167440392,0.8469754382300346,0.05576340127689852,0.8616388631980298,0.3169596081642648,0.4331105423937576,0.05970472605746713,0.65311196232603,-0.002015420427073307,0.6294934321725859,-0.018796501961271934,0.6290624291943775,-0.02792240236751213,0.6272289808915567,-0.03375622179613406,0.6248343233327548,-0.06910207184850088,0.5730057558537903,-0.12566358546625253,0.0875314667410837,-0.12829191895445852,0.08936224281245449,0.0994984156480493,0.7328375401169516,-0.12824781306962643,0.0893315206841589,-0.12811069955231175,0.08923601372214848,-0.12772951875692032,0.08897050073368877
C201,normal,batch_0.feather,12,C_7_3,1.602643398314059,0.9278631374105778,0.0,8.109889030456543,0.056313874257800274,0.8691506448078685,0.1011507255626423,0.8850623565330951,0.3215327817239475,0.432024027705338,0.09672555118131164,0.6740878629746041,0.035041745942827475,0.6559775344127824,0.019500418750568568,0.6582710820746894,0.01140912645133127,0.6585528876035376,0.005251017139112968,0.6560033114679751,-0.0370459142583507,0.5978253821004655,-0.13239079995122924,0.08474253504433833,-0.1351598373915595,0.086514978842695,0.13094228917432277,0.7452926516712349,-0.13511337036331253,0.08648523558424885,-0.13496891667631908,0.08639277166964153,-0.1345673299299225,0.08613571846843793
C201,normal,batch_0.feather,13,C_7_4,1.5879686967446216,0.9336172690836291,0.0,8.109889030456543,0.12322861961014041,0.895411234030958,0.1725837772766856,0.9125809764630092,0.3300428547815656,0.43158712273825284,0.1439125251790796,0.6909678129478498,0.08105729947252205,0.6784708942617512,0.06688261827557115,0.6829540301547307,0.05987890050668663,0.684776962808961,0.05384669076959144,0.6824518606309343,0.004368360980531828,0.6204539335714769,-0.1418021960586373,0.07973233101936925,-0.14476807880994683,0.0813999832269673,0.17471170050495544,0.7575918714907112,-0.14471830853397472,0.08137199846909171,-0.14456358592445817,0.08128500126690996,-0.14413345118270834,0.08104314573464169
C201,normal,batch_0.feather,14,C_7_5,1.5959082380964147,0.9498420659963369,0.0,8.109889030456543,0.1902549419044355,0.909621426772884,0.24355515495050897,0.9273535109970946,0.33470418701037064,0.42976881410514917,0.17575669527260454,0.69388661486955,0.11786288537265524,0.6881343319558288,0.10731798809843364,0.6952474723789657,0.10269133084992259,0.6989886684654211,0.09748823568555479,0.6970753469935715,0.04813238201862404,0.6360337147534855,-0.1491102835829942,0.07480085671931322,-0.15222901961398486,0.07636536401814868,0.2020437855006702,0.7523945858142895,-0.15217668431756154,0.07633911012800472,-0.15201398773864414,0.07625749373506008,-0.15156168505854536,0.0760305970572953
C201,normal,batch_0.feather,15,C_7_6,1.6131173524717741,0.9526173474566965,0.0,8.109889030456543,0.21499809246672988,0.8964035452116348,0.26829825502142324,0.9140298740743673,0.32583158718085325,0.42527754571408205,0.16773752702838626,0.6750643998079485,0.1216721241468167,0.6746896847700777,0.11592858746555379,0.6837448416951736,0.11404622092304917,0.688913129897474,0.11016059585597993,0.6873998254887256,0.07138888091225594,0.6319998055137889,-0.14621657283033318,0.07687453367409433,-0.14927478506798958,0.07848241323999422,0.19026605876321384,0.7246907212968945,-0.14922346541721032,0.0784554315227806,-0.14906392621167133,0.0783715525083037,-0.14862040114970465,0.07813836565637379
C201,normal,batch_0.feather,16,C_7_7,1.5839364134483243,0.9077121286713149,0.0,8.109889030456543,0.23443426309140905,0.8814889862473599,0.28705264788263024,0.8992270606257164,0.30993990677217814,0.4180230716020601,0.13797255705617179,0.6438833997752861,0.10626335674114948,0.6454092703834603,0.10551966817136538,0.6555767034324235,0.10619458706659166,0.6615426160294688,0.10420756315723008,0.6608432564907001,0.08520637478827178,0.6185447931708726,-0.14281415290124455,0.07910809487852462,-0.14580120137091374,0.08076269079177374,0.16550135206801414,0.6879183498032245,-0.1457510759144668,0.08073492513070414,-0.14559524914290087,0.08064860904241183,-0.1451620447886397,0.08040864703261802
C201,normal,batch_0.feather,17,C_7_8,1.558575498026663,0.8767189106088316,0.0,5.0013427734375,0.232794450375989,0.8746317699083367,0.28477562598210776,0.8920680007916106,0.30310788161906826,0.4142749547701853,0.08001703748273352,0.6047558490665482,0.06675569581746914,0.6116345870025112,0.07202799747048584,0.6241989902041342,0.07567632100228446,0.631576097758979,0.07601875790567662,0.6323111109562368,0.08484137755325849,0.6098393209341276,-0.14049854772988762,0.08051062311227514,-0.14343716385064076,0.08219455379197828,0.11499817288729901,0.6435755680018385,-0.14338785113413458,0.08216629586617503,-0.1432345509558421,0.08207844945721801,-0.1428083706270196,0.08183423309779804
C201,normal,batch_0.feather,18,C_8_6,1.6549120127151717,0.9666412323594307,0.0,8.109889030456543,0.11997610820938652,0.9106753572074372,0.1707213955799499,0.9280163429208478,0.36626374457315863,0.44512403246664034,0.10787487049448469,0.6908381536826343,0.05830355781394924,0.6897094463233253,0.05084419377621549,0.698162226251462,0.048117316754875676,0.7029465931728236,0.04426985672172546,0.7018136746119835,0.0111469163760925,0.6510873942021356,-0.14638751513801723,0.07675662285327019,-0.14944930274231757,0.07836203623964219,0.12451376747976561,0.7364808104196767,-0.14939792309355476,0.07833509590718397,-0.14923819737017152,0.07825134554711043,-0.14879415378150063,0.078018516359178
C201,normal,batch_0.feather,19,C_8_7,1.6251088297653222,0.9091059724913582,0.0,8.109889030456543,0.1597145855970268,0.9012171745740937,0.21185202320917623,0.9176522496440108,0.346320327125166,0.4337154645043312,0.09076805412779576,0.6541304383694357,0.0548689181734233,0.6576014176953957,0.0522423232230142,0.6682059072442106,0.0519847832474569,0.6742928994569103,0.049735588565698284,0.6739340404551913,0.03152521503911549,0.6318721289965401,-0.1444943939130769,0.07803161621895163,-0.1475165856878115,0.07966369689918425,0.11435476740111876,0.6992445024759744,-0.14746587049396145,0.0796363090647423,-0.14730821038496356,0.07955116753925609,-0.1468699092828819,0.07931447085880744
C201,normal,batch_0.feather,20,C_8_8,1.5823204117235052,0.8777178075996318,0.0,5.0013427734375,0.20474130552003264,0.8804340803168069,0.2563242496982253,0.8973828389207229,0.31484325205283475,0.4202390536149893,0.06994182356752097,0.6104131572663003,0.052935489662505754,0.6177982932861682,0.05673583808516839,0.6303628394290415,0.05966074128341653,0.6376833475482041,0.05961872817064183,0.6384188543535929,0.06480170594875612,0.6137867293639613,-0.14038861685923076,0.08057494504622152,-0.1433249337061914,0.08226022105983757,0.10204381116200507,0.6502494604501814,-0.14327565957364174,0.08223194055811245,-0.14312247934265365,0.08214402396654528,-0.14269663247190145,0.08189961249653963
