vehicle,file,sample_index,sample_info,n_nodes,n_hard_only_material_nodes,hard_only_material_frac,n_hard_only_vectors_in_sample,hard_only_material_ids_in_sample,hard_only_min_dist_to_hic,hard_only_mean_dist_to_hic,hard_only_median_dist_to_hic,hard_only_top32_nearest_frac,hard_only_nodes_within_60,hard_only_nodes_within_150,hard_only_nodes_within_400,hard_only_frac_within_60,hard_only_frac_within_150,hard_only_frac_within_400
C201,batch_1.feather,11,A_10__8,54149,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,12,A_11__1,79129,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,13,A_11__2,75730,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,14,A_11__3,75217,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,15,A_11__4,71121,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,16,A_11__5,72757,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,17,C_2__1,62010,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,18,A_11__6,76154,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,19,A_11__7,70193,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,20,A_11__8,57513,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,21,A_12__6,73283,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,22,A_12__7,69015,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,23,A_12__8,56432,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,24,A_13__9,49238,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,25,A_8_1,68368,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,26,A_8_2,68608,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,27,A_8_3,67061,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,28,C_2__2,62134,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,29,A_8_4,65416,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,30,A_8_5,63940,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,31,A_9_1,70749,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,32,A_9_2,71493,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,33,A_9_3,70738,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,34,A_9_4,69497,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,35,A_9_5,68028,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_1.feather,36,A_9_6,66388,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,0,A_9_7,60209,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,1,A_10_1,75449,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,2,C_2__3,63871,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,3,A_10_2,75093,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
