vehicle,file,sample_info,age_label,hic_bucket,hic_true,E0_pred,E3_pred,E0_accuracy,E3_accuracy,E3_minus_E0_accuracy,E0_abs_error,E3_abs_error,E3_minus_E0_abs_error,sample_index,n_nodes,n_hard_only_material_nodes,hard_only_material_frac,n_hard_only_vectors_in_sample,hard_only_material_ids_in_sample,hard_only_min_dist_to_hic,hard_only_mean_dist_to_hic,hard_only_median_dist_to_hic,hard_only_top32_nearest_frac,hard_only_nodes_within_60,hard_only_nodes_within_150,hard_only_nodes_within_400,hard_only_frac_within_60,hard_only_frac_within_150,hard_only_frac_within_400
CY02C,batch_2.feather,A_9__8,Adult,1k-1.5k,1277.699951171875,1250.9244384765625,572.0653076171875,0.9790439745491462,0.44773055449560223,-0.5313134200535439,26.7755126953125,705.6346435546875,678.859130859375,26,41988,142,0.00338191864342193,1,1000028,276.590580421658,291.169790506604,292.2357563778075,0.0,0,0,142,0.0,0.0,1.0
CY02C,batch_2.feather,A_13_2,Adult,<500,434.32000732421875,318.0130615234375,92.6371841430664,0.7322090996513582,0.21329246311674743,-0.5189166365346107,116.30694580078125,341.6828308105469,225.37588500976562,5,19150,10536,0.5501827676240209,1,1000028,1.2755435474931118,194.50908239833777,204.4632517873522,1.0,454,2839,10536,0.04309035687167806,0.269457099468489,1.0
M6,batch_5.feather,A_11_6,Adult,500-1k,874.8200073242188,981.1724243164062,339.25811767578125,0.8916068018663648,0.3878033364982794,-0.5038034653680854,106.3524169921875,535.5618896484375,429.20947265625,15,29418,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
M6,batch_5.feather,A_10_6,Adult,1.5k-2k,1964.969970703125,1965.3487548828125,984.0331420898438,0.9998072687207569,0.5007878780649901,-0.4990193906557667,0.3787841796875,980.9368286132812,980.5580444335938,6,45176,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_2.feather,A_13_1,Adult,<500,438.1099853515625,333.2574462890625,120.26305389404297,0.7606707389278955,0.2745042521629302,-0.4861664867649653,104.8525390625,317.846923828125,212.994384765625,4,19189,10681,0.5566209807702329,1,1000028,1.8868893382101302,195.36599519035877,205.80242970782848,1.0,458,2841,10681,0.04287988016103361,0.26598633086789625,1.0
M6,batch_3.feather,A_14__5,Adult,500-1k,500.3500061035156,683.087890625,126.2336196899414,0.7324826174940885,0.25229063285716313,-0.48019198463692536,182.73788452148438,374.11639404296875,191.37850952148438,7,14576,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
M6,batch_5.feather,A_13_0,Adult,<500,317.42999267578125,359.8067932128906,133.70823669433594,0.8822234562090776,0.421221181928148,-0.4610022742809296,42.376800537109375,183.7217559814453,141.34495544433594,3,12946,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
M6,batch_3.feather,A_10_8,Adult,>2k,2760.030029296875,2418.42626953125,6640.544921875,0.8762318684436019,0.41563306351635415,-0.46059880492724775,341.603759765625,3880.514892578125,3538.9111328125,2,37745,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
M6,batch_5.feather,A_13_3,Adult,<500,319.6300048828125,326.4140625,168.81756591796875,0.9792164051841746,0.5281655768827559,-0.45105082830141874,6.7840576171875,150.81243896484375,144.02838134765625,29,12903,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
M6,batch_5.feather,A_10_9,Adult,1.5k-2k,1565.6199951171875,2385.3955078125,7613.4921875,0.6563356013665514,0.20563756507002884,-0.4506980362965226,819.7755126953125,6047.8720703125,5228.0965576171875,8,37098,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
M6,batch_5.feather,A_13_6,Adult,500-1k,836.97998046875,1140.0919189453125,238.12924194335938,0.7341337716374937,0.28451008088627794,-0.4496236907512158,303.1119384765625,598.8507080078125,295.73876953125,32,17532,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_2.feather,A_13_6,Adult,1.5k-2k,1912.5,1982.6458740234375,988.4541625976562,0.9646200690993352,0.5168387778288399,-0.44778129127049526,70.1458740234375,924.0458374023438,853.8999633789062,10,34045,6307,0.18525480981054487,1,1000028,1.9937639310851816,174.59363079378662,177.1573519566279,1.0,444,2564,6307,0.0703979705089583,0.40653242429047093,1.0
M6,batch_2.feather,A_10__2,Adult,1k-1.5k,1143.81005859375,1344.2493896484375,467.6593017578125,0.8508912612509286,0.40886098023370526,-0.44203028101722336,200.4393310546875,676.1507568359375,475.71142578125,39,33125,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_5.feather,A_13__1,Adult,<500,436.05999755859375,319.2443542480469,126.55558013916016,0.7321110765386126,0.2902251544459883,-0.44188592209262434,116.81564331054688,309.5044250488281,192.68878173828125,23,21335,10681,0.5006327630653855,1,1000028,1.8868893382101302,195.36599519027203,205.80242970782848,1.0,458,2841,10681,0.04287988016103361,0.26598633086789625,1.0
CY02C,batch_5.feather,A_13__3,Adult,<500,456.260009765625,315.01129150390625,116.23502349853516,0.6904205601225573,0.25475610619094935,-0.4356644539316079,141.24871826171875,340.0249938964844,198.77627563476562,26,26209,10219,0.38990423137090313,1,1000028,0.5071636015647012,192.61551781262807,201.18008283642706,1.0,450,2841,10219,0.04403561992367159,0.2780115471181133,1.0
M6,batch_3.feather,A_10__8,Adult,>2k,2744.3701171875,2091.072509765625,8340.369140625,0.7619498903116644,0.3290466010455079,-0.43290328926615645,653.297607421875,5595.9990234375,4942.701416015625,3,38313,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
M6,batch_5.feather,A_13_2,Adult,<500,306.79998779296875,340.165771484375,149.50509643554688,0.9019131656139047,0.48730476657135396,-0.4146083990425507,33.36578369140625,157.29489135742188,123.92910766601562,28,12897,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_5.feather,A_10__1,Adult,1k-1.5k,1026.3299560546875,842.9384765625,424.2125549316406,0.8213133326078075,0.4133296046062565,-0.40798372800155097,183.3914794921875,602.117431640625,418.7259521484375,3,55681,3737,0.06711445555934699,1,1000028,115.51655089805006,226.31419617662098,232.5320303175471,0.0,0,327,3737,0.0,0.0875033449290875,1.0
M6,batch_5.feather,A_11_4,Adult,<500,447.44000244140625,454.4825439453125,259.37957763671875,0.9845042640300973,0.5796968894632647,-0.4048073745668326,7.04254150390625,188.0604248046875,181.01788330078125,12,22056,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
M6,batch_4.feather,A_11__6,Adult,500-1k,974.5999755859375,962.478515625,583.5393676757812,0.9875626305514219,0.5987475705865399,-0.38881505996488197,12.1214599609375,391.06060791015625,378.93914794921875,3,29731,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_2.feather,A_13_3,Adult,<500,473.3500061035156,310.54632568359375,128.71153259277344,0.6560606774676606,0.27191619506312176,-0.38414448240453886,162.80368041992188,344.63848876953125,181.83480834960938,6,20359,10219,0.5019401738788742,1,1000028,0.5071636015647012,192.61551781262807,201.18008283642706,1.0,450,2841,10219,0.04403561992367159,0.2780115471181133,1.0
M6,batch_4.feather,A_11__4,Adult,500-1k,562.5900268554688,491.87103271484375,279.4393310546875,0.8742974621574781,0.49670153702613784,-0.3775959251313402,70.718994140625,283.15069580078125,212.43170166015625,1,22495,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
M6,batch_4.feather,A_13__3,Adult,<500,282.0199890136719,330.3416748046875,134.4982147216797,0.8537221020642172,0.47691021899571606,-0.3768118830685011,48.321685791015625,147.5217742919922,99.20008850097656,17,12909,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_2.feather,A_13_7,Adult,>2k,3857.760009765625,3323.3212890625,7923.17041015625,0.8614639792651088,0.486896003753824,-0.37456797551128473,534.438720703125,4065.410400390625,3530.9716796875,24,20456,5131,0.250831052014079,1,1000028,3.2215119945295476,188.40444934431,196.9640158617474,0.6875,294,1598,5131,0.0572987721691678,0.31144026505554473,1.0
