vehicle,group,n_samples,n_nodes_total,union_bbox_x,union_bbox_y,union_bbox_z,union_bbox_diag,union_diag_vs_normal_mean
C201,normal,222,13520761,2000.7485656738281,1979.9810791015625,718.563720703125,2905.1082109547633,1.046916363311287
CY02C,hard,224,8206303,1845.7112655639648,1797.5335693359375,1009.3775024414062,2767.05980259809,0.9971677387703163
EP32,normal,217,13301212,1917.4492645263672,1877.7440185546875,818.7040405273438,2805.8529161783254,1.0111476467261697
FX11,normal,221,7329915,1843.942726135254,1818.43505859375,810.3307495117188,2713.5708509626556,0.9778918789202977
JX65,normal,172,7258079,1648.3835830688477,1889.5093994140625,623.4337768554688,2583.811889733705,0.9311305296237021
M6,hard,242,10493929,1820.9157333374023,1912.910400390625,910.2791748046875,2793.4867968045623,1.0066912575719777
S50EVK,normal,220,13866646,1989.2602233886719,1914.013671875,771.228759765625,2866.2516240501973,1.0329135814185437
