vehicle,group,file,sample_index,sample_info,n_nodes,bbox_x,bbox_y,bbox_z,bbox_diag,hic_rel_x,hic_rel_y,hic_rel_z,hic_center_dist_norm,hic_value,age_group,age_label
C201,normal,batch_0.feather,0,C_5_8,39189,583.6384124755859,487.95208740234375,302.0857696533203,818.5272434955147,0.4886386617908275,0.6109767496888712,0.9178254902981147,0.16799065993281817,575.67,0,Child
C201,normal,batch_0.feather,1,C_6_1,59372,593.52490234375,595.6114044189453,286.3944549560547,888.282915858254,0.49497610935548986,0.49747805687176816,0.9032400417242217,0.130064378343348,450.03,0,Child
C201,normal,batch_0.feather,2,C_6_2,62279,592.7177124023438,597.7435302734375,310.1451110839844,897.1073539485207,0.4944173726297575,0.4994971628855429,0.9081649362311218,0.14115808315332665,504.32,0,Child
C201,normal,batch_0.feather,3,C_6_3,60466,594.0773620605469,597.196033000946,327.1961212158203,903.6748949061066,0.49546383631093427,0.4992986738281895,0.908696750096102,0.14800875684878678,577.68,0,Child
C201,normal,batch_0.feather,4,C_6_4,59657,593.98046875,597.6345672607422,328.5007629394531,904.3741617788553,0.4953748544889275,0.4990343169790998,0.9030734223079616,0.14644345972084813,685.0,0,Child
C201,normal,batch_0.feather,5,C_6_5,57775,592.9448547363281,598.3758087158203,330.4946594238281,904.9110061891553,0.4953441562866465,0.5002765894746294,0.8951254117014028,0.1443413990985051,1064.26,0,Child
C201,normal,batch_0.feather,6,C_6_6,53229,595.9161376953125,598.5156860351562,318.2957000732422,902.5792055442822,0.4970515788840427,0.49939257078522803,0.8966801939159107,0.1399038965239123,1250.51,0,Child
C201,normal,batch_0.feather,7,C_6_7,47106,594.5379943847656,573.4923706054688,277.9742126464844,871.5724805236641,0.49685823721700284,0.5221354095901345,0.9265017978712788,0.13682032332217914,1379.62,0,Child
C201,normal,batch_0.feather,8,C_6_8,39409,590.7273864746094,488.90704345703125,259.6701889038086,809.5786245191739,0.49366841219800495,0.6113974177719266,0.9557805750105747,0.16099276015147,627.11,0,Child
C201,normal,batch_0.feather,9,C_7_1,66381,592.4217529296875,596.97119140625,290.4078826904297,889.7611336993876,0.4980963829568563,0.5005962205777928,0.9273462370316163,0.139487268400538,435.31,0,Child
C201,normal,batch_0.feather,10,C_1__2,73246,561.7052307128906,596.883415222168,373.73626708984375,900.8115090937458,0.4829173750564427,0.5007757746500759,0.7986223756766829,0.12435309030418835,871.3,0,Child
C201,normal,batch_0.feather,11,C_7_2,66927,596.4066467285156,598.084358215332,302.7627868652344,897.25753990379,0.497615345966515,0.4992034466445073,0.9267079067172562,0.143994311302185,448.9,0,Child
C201,normal,batch_0.feather,12,C_7_3,65177,591.9488220214844,598.8468002080917,323.4049987792969,902.0042634309054,0.50094455841994,0.5006947951966084,0.9256997726028918,0.15263253638609925,516.31,0,Child
C201,normal,batch_0.feather,13,C_7_4,63115,594.2352294921875,599.3907775878906,325.2050018310547,904.5126342086025,0.498566348421912,0.49961857531001785,0.9193331767469157,0.1507685952104925,651.66,0,Child
C201,normal,batch_0.feather,14,C_7_5,60854,594.8614196777344,598.7615661621094,309.6055908203125,899.0167649165985,0.49803223908929944,0.49982770324002074,0.9068857018761299,0.1401303885495416,1124.43,0,Child
C201,normal,batch_0.feather,15,C_7_6,56571,596.6149291992188,595.8275451660156,287.7770080566406,890.9407632878748,0.4980855675844517,0.5024031097518911,0.895806496702604,0.12786342178188786,1580.77,0,Child
C201,normal,batch_0.feather,16,C_7_7,49491,596.76318359375,576.796875,251.43158721923828,867.2016924304858,0.4981004131089666,0.5193392971940302,0.9260661371686318,0.12420599565295967,1507.44,0,Child
C201,normal,batch_0.feather,17,C_7_8,40676,596.0401306152344,489.6906433105469,219.8139419555664,802.1090527651262,0.49812552662122406,0.6120192571528976,0.9809726971671376,0.14850006902322674,737.27,0,Child
C201,normal,batch_0.feather,18,C_8_6,60011,595.1087036132812,594.0083923339844,298.8323974609375,892.3570703769522,0.49597509235073184,0.5000342932501645,0.9169213287084889,0.13964435148505033,1558.89,0,Child
C201,normal,batch_0.feather,19,C_8_7,52204,596.8737487792969,574.1917419433594,269.60728454589844,871.0008704806291,0.5007474399992308,0.5204143051918348,0.9247727568357466,0.13217094898381337,1682.85,0,Child
C201,normal,batch_0.feather,20,C_8_8,43255,598.2033386230469,489.2608337402344,237.08702087402344,808.3524313310801,0.4986661872496819,0.6116784208854726,0.9746663847311878,0.15476305216585232,840.3,0,Child
C201,normal,batch_0.feather,21,C_1__3,74493,562.7647094726562,597.0657365322113,376.77928924560547,902.8589285004712,0.4788909255617813,0.5018693394663113,0.7932521374860931,0.12309089005818204,1091.93,0,Child
C201,normal,batch_0.feather,22,C_9_8,48362,598.9735717773438,488.82073974609375,276.7629852294922,821.1655163770379,0.4998845905637216,0.6114875077273765,0.9683860420616344,0.17124623250791568,1050.05,0,Child
C201,normal,batch_0.feather,23,A_11_0,81525,595.73876953125,596.9877014160156,427.0362777709961,945.335379480263,0.4973747144554578,0.49952257152832863,0.6867420766598231,0.08437374436981118,3752.33,1,Adult
C201,normal,batch_0.feather,24,A_10_0,76741,597.3165893554688,598.9913940429688,387.26068115234375,930.3486621817468,0.4989133591464367,0.4999999999916526,0.7662848889434223,0.11084415374096405,2096.28,1,Adult
