feature,normal_mean,hard_mean,diff_hard_minus_normal,abs_diff,cohen_d,abs_cohen_d
mat_02_mean,0.21300721096328454,-0.020505417936161816,-0.23351262889944635,0.23351262889944635,-1.0914535475981857,1.0914535475981857
mat_08_mean,0.05926591360880848,0.3153286695599226,0.25606275595111416,0.25606275595111416,0.6683889492220296,0.6683889492220296
mat_07_mean,0.07397605038582372,0.28861410829808953,0.2146380579122658,0.2146380579122658,0.6334301945747222,0.6334301945747222
mat_06_mean,0.07286579286522933,0.2858130027502138,0.2129472098849845,0.2129472098849845,0.6305238257687057,0.6305238257687057
mat_05_mean,0.07521905049617487,0.2878883371250539,0.21266928662887902,0.21266928662887902,0.6241698883031139,0.6241698883031139
mat_04_mean,0.08174910337418331,0.29784881958244047,0.21609971620825716,0.21609971620825716,0.6151580622661363,0.6151580622661363
mat_03_mean,0.11264365015481248,0.35333143503449316,0.24068778487968068,0.24068778487968068,0.5983075953719144,0.5983075953719144
mat_11_mean,0.1151940551969777,0.3072950375116209,0.1921009823146432,0.1921009823146432,0.5645181692963238,0.5645181692963238
mat_02_std,0.39328347736872227,0.51494641767813,0.12166294030940772,0.12166294030940772,0.48152674763114417,0.48152674763114417
mat_00_std,0.7539823147953106,0.6716384923263232,-0.08234382246898742,0.08234382246898742,-0.4436826768097092,0.4436826768097092
mat_01_std,0.7802564415825759,0.7135496252470666,-0.06670681633550934,0.06670681633550934,-0.3655270914088177,0.3655270914088177
mat_12_mean,-0.13597260422941967,-0.12624538772958183,0.009727216499837849,0.009727216499837849,0.2963721687456232,0.2963721687456232
mat_09_mean,-0.13323272002600225,-0.12370150953033095,0.009531210495671308,0.009531210495671308,0.2963721687456231,0.2963721687456231
mat_10_mean,-0.13601936675798776,-0.12628880495751352,0.009730561800474241,0.009730561800474241,0.29637216874562294,0.29637216874562294
mat_14_mean,-0.13542309133115538,-0.12573518591873226,0.00968790541242312,0.00968790541242312,0.29637216874562294,0.29637216874562294
mat_13_mean,-0.13582723191017232,-0.1261104150642237,0.009716816845948606,0.009716816845948606,0.2963721687456226,0.2963721687456226
mat_12_std,0.07727839442693435,0.08217762262238353,0.004899228195449176,0.004899228195449176,0.2740451530848342,0.2740451530848342
mat_14_std,0.07696608537957095,0.08184551407863959,0.004879428699068641,0.004879428699068641,0.2740451530846841,0.2740451530846841
mat_13_std,0.07719577381751956,0.08208976410368785,0.004893990286168284,0.004893990286168284,0.2740451530846802,0.2740451530846802
mat_09_std,0.07572121418937545,0.08052172163134541,0.004800507441969956,0.004800507441969956,0.2740451530846562,0.2740451530846562
mat_10_std,0.07730497134768928,0.08220588444355671,0.004900913095867432,0.004900913095867432,0.27404515308454025,0.27404515308454025
thickness_mean,13126.071008245684,899.8767906922096,-12226.194217553475,12226.194217553475,-0.2234387477714356,0.2234387477714356
thickness_std,135197.95091432313,43751.583986698446,-91446.36692762468,91446.36692762468,-0.16532564371153508,0.16532564371153508
mat_08_std,0.6492630014295836,0.6802674947438202,0.031004493314236603,0.031004493314236603,0.1586698606237624,0.1586698606237624
thickness_min,0.002566540025939506,0.014678111403796806,0.012111571377857299,0.012111571377857299,0.15432032986569397,0.15432032986569397
mat_03_std,0.6605092270979511,0.6974811240916048,0.03697189699365366,0.03697189699365366,0.15322098283211164,0.15322098283211164
thickness_max,1499835.3264143385,2457287.2243069243,957451.8978925857,957451.8978925857,0.10395320755752731,0.10395320755752731
mat_01_mean,0.0732042463147648,0.04060143513987048,-0.03260281117489432,0.03260281117489432,-0.08797831531847072,0.08797831531847072
mat_04_std,0.6371813685377362,0.652875070685596,0.01569370214785981,0.01569370214785981,0.08552953609073952,0.08552953609073952
mat_00_mean,0.048138933366046695,0.033626685124283316,-0.014512248241763379,0.014512248241763379,-0.04312284645584962,0.04312284645584962
mat_05_std,0.6416055994657297,0.6478983915575903,0.006292792091860622,0.006292792091860622,0.03818562240099856,0.03818562240099856
mat_11_std,0.6508583670455999,0.6564662978830833,0.005607930837483455,0.005607930837483455,0.02920673371447106,0.02920673371447106
mat_06_std,0.6454164577285821,0.6484540870550125,0.003037629326430369,0.003037629326430369,0.01938853777785588,0.01938853777785588
mat_07_std,0.6504590666801818,0.6521602639515897,0.0017011972714078283,0.0017011972714078283,0.01111310665465788,0.01111310665465788
